Decoy,HostName,Failure Rate,New Flows,Failed Decoys
141.217.20.79,cfpca-webcheckout.finearts.wayne.edu,0.2354368932038835,315,97
141.211.32.18,blue.sca.isr.umich.edu,0.23544303797468355,302,93
198.108.220.124,copesd.org,0.23546511627906977,526,162
198.108.220.111,www.copesd.org,0.23552123552123552,396,122
141.211.3.22,www.dsc.umich.edu,0.2357142857142857,107,33
164.76.158.38,www.emich.edu,0.23577235772357724,94,29
141.211.186.135,www.uofmhosting.net,0.23582089552238805,256,79
206.57.244.23,prtg.southgateschools.com,0.23582766439909297,337,104
141.211.3.4,*.dsc.umich.edu,0.2358490566037736,81,25
141.212.190.50,gs.engin.umich.edu,0.2358974358974359,298,92
141.211.29.100,imputationserver.sph.umich.edu,0.23616236162361623,207,64
141.211.55.19,gscan-wiki.sph.umich.edu,0.23636363636363636,84,26
198.108.218.166,ps.boyne.k12.mi.us,0.23645320197044334,155,48
141.211.7.164,ath.umich.edu,0.23648648648648649,113,35
141.211.229.135,shib-idp-test.www.umich.edu,0.2366412213740458,100,31
141.211.217.247,gallery-tool-dev.ai.umich.edu,0.23666666666666666,229,71
141.211.5.17,mygoutcare.org,0.23696682464454977,161,50
141.217.21.118,www.med.wayne.edu,0.23717948717948717,119,37
141.212.113.143,www.cse.umich.edu,0.2371967654986523,283,88
141.212.110.51,zidane.eecs.umich.edu,0.23728813559322035,135,42
141.214.172.248,www.umhealthresearch.org,0.23734177215189872,482,150
198.109.24.20,www.udmercy.edu,0.23741007194244604,106,33
141.213.3.186,bookalive.io,0.23741007194244604,106,33
208.68.27.28,www.finlandia.edu,0.23745819397993312,228,71
192.41.231.43,psumvm03.aglt2.org,0.2375,183,57
141.217.0.155,login.wayne.edu,0.23783783783783785,141,44
141.211.3.15,*.dsc.umich.edu,0.23786407766990292,157,49
141.217.20.21,crsctest.med.wayne.edu,0.23788546255506607,173,54
207.74.55.113,visit.muskegonsheriff.com,0.23809523809523808,144,45
198.108.221.106,ps.rayder.org,0.23809523809523808,128,40
141.212.113.225,doeplasma.eecs.umich.edu,0.23809523809523808,96,30
198.108.192.7,vpn.ncmich.edu,0.23809523809523808,80,25
35.9.123.24,fw-ats.bric.msu.edu,0.23809523809523808,48,15
141.211.54.238,www.umich.edu,0.23820224719101124,339,106
206.57.198.101,imobile.northvilleschools.org,0.23834196891191708,147,46
141.211.217.101,saferteens.org,0.23844731977818853,412,129
35.8.26.46,hisoccs.cem.msu.edu,0.23848396501457725,1306,409
198.110.200.31,www.watson.nmu.edu,0.23853211009174313,83,26
141.211.28.122,www.studentlife.umich.edu,0.23870967741935484,118,37
141.211.229.175,shib-sp-test.www.umich.edu,0.23875432525951557,220,69
136.228.36.163,powerschool.tcaps.net,0.23880597014925373,153,48
64.49.123.208,www.egrps.org,0.23880597014925373,102,32
35.9.123.30,fw-ats.bric.msu.edu,0.23880597014925373,51,16
141.217.0.156,*.wayne.edu,0.23893805309734514,344,108
141.217.21.15,www.researchtraining.ovpr.wayne.edu,0.23934426229508196,464,146
136.228.36.83,www.ps.frankfort.k12.mi.us,0.23939393939393938,251,79
141.217.97.21,lis7440.slis.wayne.edu,0.23943661971830985,270,85
141.213.154.85,fw-dent.umnet.umich.edu,0.23943661971830985,54,17
141.211.182.111,*.lsi.umich.edu,0.23958333333333334,292,92
136.228.45.209,www.manistee.org,0.23958333333333334,73,23
207.74.117.90,www.mccezproxy.palnet.info,0.23969072164948454,295,93
204.38.88.151,ps.fowlerschools.net,0.2399588053553038,738,233
206.57.223.8,mbg.gardencityschools.com,0.24,133,42
141.211.3.31,www.dsc.umich.edu,0.24,114,36
141.211.4.208,chat-testing.it.umich.edu,0.24,95,30
141.211.21.140,shibboleth.umich.edu,0.24022346368715083,272,86
141.211.235.14,www.police.umich.edu,0.240234375,389,123
141.211.3.81,www.dsc.umich.edu,0.2403846153846154,79,25
141.211.28.225,dent-biopsy.miserver.it.umich.edu,0.24043715846994534,139,44
141.211.4.120,www.engin.umich.edu,0.24050632911392406,360,114
141.214.9.143,p-idm.med.umich.edu,0.24050632911392406,60,19
136.228.56.133,www.glcomets.net,0.24050632911392406,60,19
207.73.180.8,www.dryden.k12.mi.us,0.24060150375939848,101,32
136.228.56.134,www.glcomets.net,0.24074074074074073,82,26
141.211.4.55,*.bmc2.org,0.24074074074074073,82,26
141.219.44.34,services.lib.mtu.edu,0.24074074074074073,82,26
