136.228.45.237,4,8
141.209.28.73,0,1
163.253.36.233,0,2
136.228.35.228,1,2
136.228.35.49,1,4
206.57.244.23,1,4
136.228.34.25,1,2
141.193.178.231,2,8
35.8.234.133,8,16
141.217.21.250,0,4
136.228.34.19,2,4
141.211.182.114,1,2
153.106.194.110,2,4
141.209.164.49,3,8
173.225.189.140,1,2
148.61.16.175,4,8
141.215.69.54,2,4
198.108.51.30,0,2
141.211.4.141,8,16
153.106.169.11,4,8
141.214.9.166,1,2
198.108.140.28,0,1
136.228.39.208,0,2
35.8.12.166,1,2
141.212.113.211,1,2
69.58.50.137,4,8
198.111.181.22,2,8
141.217.2.33,2,8
141.211.3.69,3,6
141.193.177.209,1,2
35.9.75.209,1,2
141.211.4.214,1,2
136.228.36.92,0,1
141.193.177.127,8,16
136.228.38.65,0,4
198.111.162.3,0,1
141.211.182.161,0,3
198.108.141.185,1,4
142.54.13.42,0,1
136.228.34.37,4,8
141.215.68.45,1,2
141.214.120.65,0,2
66.202.198.67,16,32
141.214.2.31,0,2
141.216.3.109,4,8
207.190.177.120,1,4
141.193.176.136,4,8
198.109.240.103,1,2
141.211.28.217,1,2
141.217.20.21,1,2
141.214.9.180,1,4
206.57.252.215,8,16
69.58.58.245,1,2
69.58.58.153,8,16
198.108.192.7,0,1
141.216.10.87,1,2
141.211.186.135,1,2
141.218.253.20,2,4
141.211.3.84,2,4
198.108.221.111,0,1
141.193.177.158,0,2
198.111.176.156,0,2
141.217.0.154,1,2
136.228.35.21,1,4
141.211.160.111,0,1
198.108.141.184,2,4
141.213.8.125,0,1
206.57.199.43,0,1
199.16.184.154,0,2
141.212.115.162,1,2
141.214.9.170,0,3
141.211.111.133,8,16
141.193.177.137,0,1
141.216.10.174,16,32
141.214.2.60,3,8
136.228.36.51,8,16
141.211.4.208,1,2
198.109.24.141,0,1
141.193.178.177,8,16
141.193.178.228,0,1
198.111.152.226,0,2
141.217.21.79,0,2
141.212.110.51,1,2
141.211.160.19,1,4
204.38.88.154,0,1
198.207.201.122,1,2
207.75.164.39,1,2
141.214.9.152,1,2
141.211.217.106,8,16
141.219.106.40,0,2
173.225.184.140,4,8
141.214.2.25,1,2
173.225.184.142,1,4
141.211.3.22,1,2
204.38.89.153,0,3
50.227.122.254,0,2
69.58.58.193,4,8
35.39.169.232,1,4
147.124.11.138,2,8
198.109.219.253,0,1
208.64.36.99,0,1
141.214.9.156,0,1
35.9.209.134,0,2
207.190.191.121,3,8
141.219.171.153,0,2
198.111.176.102,0,1
198.108.140.106,1,4
141.211.3.62,2,8
136.228.56.67,3,6
141.213.11.69,1,2
66.219.121.68,2,4
198.110.48.186,1,2
35.9.71.50,1,2
198.245.194.133,8,16
141.211.20.238,2,4
153.106.195.26,1,2
136.228.38.44,1,2
136.228.34.6,8,16
173.225.177.147,8,16
141.211.4.149,0,1
136.228.45.220,1,2
141.211.5.54,1,2
198.108.245.245,1,2
141.211.3.28,2,4
141.211.7.210,0,2
192.231.113.128,1,2
173.225.184.132,16,32
207.75.127.104,1,2
64.113.50.204,0,2
198.108.140.208,3,8
141.212.113.146,0,2
208.68.24.161,1,2
136.228.39.197,0,1
64.113.57.121,1,2
141.211.4.221,0,1
64.49.113.94,0,1
136.228.45.211,1,4
141.214.159.63,16,32
136.228.36.65,3,8
141.211.3.61,4,8
141.211.28.112,0,2
141.213.11.46,1,2
173.225.190.9,0,2
141.216.10.166,0,3
141.211.186.141,0,2
141.213.3.76,0,2
141.211.212.72,0,4
136.228.56.138,2,4
66.202.198.76,0,3
198.109.240.105,0,2
141.193.178.217,1,2
